***************************************************************************************************** 
* WARNING: The 2022 software stack is deprecated. Please consider switching to
the latest 2024 * 
* software stack, or the older 2023 software stack. * 
* * 
* If you have any question, please contact us via
http://servicedesk.surfsara.nl. * 
***************************************************************************************************** 
OpenMP parallelism
Running with OMP_NUM_THREADS = 128
CPUS:  128
Starting the program...

Iteration 633; Population 405
Iteration 634; Population 420
Iteration 635; Population 442
Iteration 636; Population 430
Iteration 637; Population 414
Iteration 638; Population 422
Iteration 639; Population 447
Iteration 640; Population 459
Iteration 641; Population 433
Iteration 642; Population 419
Iteration 643; Population 419
Iteration 644; Population 396
Iteration 645; Population 396
Iteration 646; Population 395
Iteration 647; Population 403
Iteration 648; Population 376
Iteration 649; Population 392
Iteration 650; Population 375
Iteration 651; Population 379
Iteration 652; Population 404
Iteration 653; Population 429
Iteration 654; Population 397
Iteration 655; Population 426
Iteration 656; Population 389
Iteration 657; Population 415
Iteration 658; Population 387
Iteration 659; Population 414
Iteration 660; Population 371
Iteration 661; Population 391
Iteration 662; Population 373
Iteration 663; Population 359
Iteration 664; Population 378
Iteration 665; Population 380
Iteration 666; Population 374
Iteration 667; Population 378
Iteration 668; Population 380
Iteration 669; Population 378
Iteration 670; Population 393
Iteration 671; Population 385
Iteration 672; Population 377
Iteration 673; Population 377
Iteration 674; Population 382
Iteration 675; Population 379
Iteration 676; Population 401
Iteration 677; Population 414
Iteration 678; Population 415
Iteration 679; Population 404
Iteration 680; Population 410
Iteration 681; Population 406
Iteration 682; Population 399
Iteration 683; Population 399
Iteration 684; Population 408
Iteration 685; Population 401
Iteration 686; Population 398
Iteration 687; Population 408
Iteration 688; Population 420
Iteration 689; Population 414
Iteration 690; Population 386
Iteration 691; Population 397
Iteration 692; Population 391
Iteration 693; Population 402
Iteration 694; Population 386
Iteration 695; Population 391
Iteration 696; Population 376
Iteration 697; Population 387
Iteration 698; Population 378
Iteration 699; Population 395
Iteration 700; Population 406
Iteration 701; Population 430
Iteration 702; Population 430
Iteration 703; Population 421
Iteration 704; Population 418
Iteration 705; Population 397
Iteration 706; Population 403
Iteration 707; Population 406
Iteration 708; Population 412
Iteration 709; Population 423
Iteration 710; Population 435
Iteration 711; Population 428
Iteration 712; Population 443
Iteration 713; Population 435
Iteration 714; Population 441
Iteration 715; Population 442
Iteration 716; Population 444
Iteration 717; Population 426
Iteration 718; Population 442
Iteration 719; Population 435
Iteration 720; Population 429
Iteration 721; Population 472
Iteration 722; Population 440
Iteration 723; Population 466
Iteration 724; Population 435
Iteration 725; Population 450
Iteration 726; Population 420
Iteration 727; Population 426
Iteration 728; Population 461
Iteration 729; Population 452
Iteration 730; Population 484
Iteration 731; Population 499
Iteration 732; Population 503
Iteration 733; Population 505
Iteration 734; Population 513
Iteration 735; Population 507
Iteration 736; Population 504
Iteration 737; Population 483
Iteration 738; Population 485
Iteration 739; Population 497
Iteration 740; Population 476
Iteration 741; Population 456
Iteration 742; Population 455
Iteration 743; Population 434
Iteration 744; Population 447
Iteration 745; Population 447
Iteration 746; Population 435
Iteration 747; Population 462
Iteration 748; Population 450
Iteration 749; Population 486
Iteration 750; Population 461
Iteration 751; Population 498
Iteration 752; Population 484
Iteration 753; Population 504
Iteration 754; Population 492
Iteration 755; Population 548
Iteration 756; Population 508
Iteration 757; Population 532
Iteration 758; Population 527
Iteration 759; Population 510
Iteration 760; Population 534
Iteration 761; Population 527
Iteration 762; Population 541
Iteration 763; Population 545
Iteration 764; Population 549
Iteration 765; Population 561
Iteration 766; Population 578
Iteration 767; Population 572
Iteration 768; Population 565
Iteration 769; Population 573
Iteration 770; Population 589
Iteration 771; Population 555
Iteration 772; Population 561
Iteration 773; Population 572
Iteration 774; Population 589
Iteration 775; Population 586
Iteration 776; Population 584
Iteration 777; Population 550
Iteration 778; Population 538
Iteration 779; Population 567
Iteration 780; Population 572
Iteration 781; Population 590
Iteration 782; Population 583
Iteration 783; Population 595
Iteration 784; Population 616
Iteration 785; Population 606
Iteration 786; Population 579
Iteration 787; Population 608
Iteration 788; Population 576
Iteration 789; Population 598
Iteration 790; Population 565
Iteration 791; Population 568
Iteration 792; Population 559
Iteration 793; Population 574
Iteration 794; Population 534
Iteration 795; Population 547
Iteration 796; Population 529
Iteration 797; Population 530
Iteration 798; Population 525
Iteration 799; Population 530
Iteration 800; Population 521
Iteration 801; Population 540
Iteration 802; Population 527
Iteration 803; Population 516
Iteration 804; Population 567
Iteration 805; Population 536
Iteration 806; Population 568
Iteration 807; Population 554
Iteration 808; Population 587
Iteration 809; Population 558
Iteration 810; Population 558
Iteration 811; Population 528
Iteration 812; Population 564
Iteration 813; Population 517
Iteration 814; Population 564
Iteration 815; Population 489
Iteration 816; Population 495
Iteration 817; Population 474
Iteration 818; Population 498
Iteration 819; Population 478
Iteration 820; Population 493
Iteration 821; Population 488
Iteration 822; Population 486
Iteration 823; Population 468
Iteration 824; Population 508
Iteration 825; Population 463
Iteration 826; Population 513
Iteration 827; Population 498
Iteration 828; Population 506
Iteration 829; Population 520
Iteration 830; Population 544
Iteration 831; Population 537
Iteration 832; Population 547
Iteration 833; Population 539
Iteration 834; Population 504
Iteration 835; Population 522
Iteration 836; Population 502
Iteration 837; Population 493
Iteration 838; Population 492
Iteration 839; Population 519
Iteration 840; Population 501
Iteration 841; Population 522
Iteration 842; Population 535
Iteration 843; Population 544
Iteration 844; Population 548
Iteration 845; Population 574
Iteration 846; Population 548
Iteration 847; Population 542
Iteration 848; Population 540
Iteration 849; Population 561
Iteration 850; Population 509
Iteration 851; Population 549
Iteration 852; Population 548
Iteration 853; Population 566
Iteration 854; Population 556
Iteration 855; Population 528
Iteration 856; Population 558
Iteration 857; Population 537
Iteration 858; Population 538
Iteration 859; Population 544
Iteration 860; Population 544
Iteration 861; Population 520
Iteration 862; Population 549
Iteration 863; Population 518
Iteration 864; Population 559
Iteration 865; Population 556
Iteration 866; Population 551
Iteration 867; Population 566
Iteration 868; Population 560
Iteration 869; Population 558
Iteration 870; Population 558
Iteration 871; Population 560
Iteration 872; Population 560
Iteration 873; Population 544
Iteration 874; Population 546
Iteration 875; Population 542
Iteration 876; Population 529
Iteration 877; Population 541
Iteration 878; Population 572
Iteration 879; Population 565
Iteration 880; Population 582
Iteration 881; Population 571
Iteration 882; Population 540
Iteration 883; Population 584
Iteration 884; Population 552
Iteration 885; Population 587
Iteration 886; Population 550
Iteration 887; Population 541
Iteration 888; Population 563
Iteration 889; Population 546
Iteration 890; Population 573
Iteration 891; Population 560
Iteration 892; Population 572
Iteration 893; Population 567
Iteration 894; Population 550
Iteration 895; Population 565
Iteration 896; Population 539
Iteration 897; Population 548
Iteration 898; Population 520
Iteration 899; Population 545
Iteration 900; Population 532
Iteration 901; Population 559
Iteration 902; Population 546
Iteration 903; Population 553
Iteration 904; Population 557
Iteration 905; Population 530
Iteration 906; Population 560
Iteration 907; Population 551
Iteration 908; Population 561
Iteration 909; Population 547
Iteration 910; Population 567
Iteration 911; Population 548
Iteration 912; Population 560
Iteration 913; Population 548
Iteration 914; Population 545
Iteration 915; Population 527
Iteration 916; Population 544
Iteration 917; Population 519
Iteration 918; Population 508
Iteration 919; Population 502
Iteration 920; Population 512
Iteration 921; Population 477
Iteration 922; Population 483
Iteration 923; Population 490
Iteration 924; Population 479
Iteration 925; Population 482
Iteration 926; Population 491
Iteration 927; Population 494
Iteration 928; Population 512
Iteration 929; Population 512
Iteration 930; Population 494
Iteration 931; Population 528
Iteration 932; Population 491
Iteration 933; Population 480
Iteration 934; Population 466
Iteration 935; Population 470
Iteration 936; Population 471
Iteration 937; Population 463
Iteration 938; Population 475
Iteration 939; Population 472
Iteration 940; Population 475
Iteration 941; Population 490
Iteration 942; Population 489
Iteration 943; Population 493
Iteration 944; Population 472
Iteration 945; Population 466
Iteration 946; Population 461
Iteration 947; Population 477
Iteration 948; Population 470
Iteration 949; Population 508
Iteration 950; Population 486
Iteration 951; Population 474
Iteration 952; Population 458
Iteration 953; Population 462
Iteration 954; Population 445
Iteration 955; Population 434
Iteration 956; Population 445
Iteration 957; Population 439
Iteration 958; Population 445
Iteration 959; Population 438
Iteration 960; Population 434
Iteration 961; Population 436
